Neuron,Start Time,Amplitude,Peak,Decay Time,Rise Time,Latency,Frequency
n28,1336,0.2683000000000002,0.896,2,6,8,0.5
n28,1341,0.2799666666666666,0.951,0,1,1,0.6
n28,1346,0.2576333333333334,0.951,10,1,11,0.5
n28,1351,0.2646333333333333,0.951,5,0,5,0.5666666666666667
n28,1356,0.2924,0.951,0,1,1,0.6
n28,1361,0.27549999999999997,0.951,1,2,3,0.6
n28,1366,0.26846666666666663,0.951,13,0,13,0.5333333333333333
n28,1371,0.23936666666666673,0.904,8,0,8,0.5
n28,1376,0.2738999999999999,0.904,3,0,3,0.4666666666666667
n28,1381,0.271,0.88,2,0,2,0.5333333333333333
n28,1386,0.27393333333333336,0.88,17,0,17,0.5
n28,1391,0.3242666666666667,0.88,12,0,12,0.5
n28,1396,0.31989999999999996,0.851,7,0,7,0.4666666666666667
n28,1401,0.22586666666666666,0.74,15,0,15,0.5333333333333333
n28,1406,0.25209999999999994,0.74,10,2,12,0.5
n28,1411,0.28323333333333334,0.74,5,0,5,0.4666666666666667
n28,1416,0.2570666666666667,0.704,0,4,4,0.43333333333333335
n28,1421,0.24853333333333333,0.704,13,0,13,0.4
n28,1426,0.2696333333333332,0.704,8,0,8,0.43333333333333335
n28,1431,0.304,0.702,3,0,3,0.5
n28,1436,0.3203,0.702,0,5,5,0.43333333333333335
n28,1441,0.31639999999999996,0.702,8,0,8,0.4666666666666667
n28,1446,0.2502333333333333,0.63,3,1,4,0.4666666666666667
n28,1451,0.24459999999999998,0.63,3,0,3,0.5333333333333333
n28,1456,0.5091333333333334,0.927,0,0,0,0.43333333333333335
n28,1461,0.4559000000000001,0.927,0,13,13,0.4
n28,1466,0.39379999999999993,0.927,0,8,8,0.5
n28,1471,0.3319333333333333,0.927,0,4,4,0.5333333333333333
n28,1476,0.29376666666666673,0.927,2,7,9,0.5
n28,1481,0.2595333333333333,0.927,0,2,2,0.3333333333333333
n28,1486,0.2526666666666665,0.925,30,0,30,0.36666666666666664
n28,1491,0.25506666666666666,0.925,30,0,30,0.43333333333333335
n28,1496,0.26790000000000014,0.925,30,1,31,0.4666666666666667
n28,1501,0.29156666666666675,0.925,25,0,25,0.5333333333333333
n28,1506,0.2980333333333334,0.882,20,1,21,0.5666666666666667
n28,1511,0.24716666666666665,0.784,21,0,21,0.5666666666666667
n28,1516,0.2646666666666666,0.784,16,0,16,0.5666666666666667
n28,1521,0.21196666666666658,0.71,14,0,14,0.5666666666666667
n28,1526,0.5267666666666666,1.043,0,1,1,0.5
n28,1531,0.4798333333333332,1.043,1,0,1,0.5
n28,1536,0.5076333333333334,1.143,0,13,13,0.4
n28,1541,0.4417,1.143,2,13,15,0.36666666666666664
n28,1546,0.43530000000000024,1.143,0,8,8,0.4
n28,1551,0.43146666666666667,1.143,0,3,3,0.36666666666666664
n28,1556,0.4169999999999999,1.143,16,0,16,0.43333333333333335
n28,1561,0.42036666666666667,1.143,11,0,11,0.4
n28,1566,0.2349000000000001,0.925,6,0,6,0.5
n28,1571,0.2679666666666668,0.923,1,0,1,0.5333333333333333
n28,1576,0.2738999999999999,0.923,2,1,3,0.5333333333333333
n28,1581,0.2776000000000002,0.923,24,0,24,0.5666666666666667
n28,1586,0.3248333333333334,0.923,19,0,19,0.4666666666666667
n28,1591,0.19609999999999994,0.744,14,0,14,0.5
n28,1596,0.21696666666666664,0.744,9,0,9,0.43333333333333335
n28,1601,0.2228,0.744,4,1,5,0.5
n28,1606,0.29369999999999996,0.824,4,0,4,0.43333333333333335
n28,1611,0.2952,0.858,3,0,3,0.43333333333333335
n28,1616,0.2568666666666668,0.858,2,0,2,0.4666666666666667
n28,1621,0.24043333333333328,0.858,8,0,8,0.4666666666666667
n28,1626,0.23886666666666667,0.858,3,0,3,0.43333333333333335
n28,1631,0.22276666666666678,0.858,3,1,4,0.43333333333333335
n28,1636,0.23336666666666672,0.858,27,0,27,0.43333333333333335
n28,1641,0.22006666666666685,0.804,22,0,22,0.5666666666666667
n28,1646,0.19043333333333334,0.744,23,0,23,0.6
n28,1651,0.21396666666666675,0.744,18,0,18,0.6
n28,1656,0.2102666666666666,0.744,13,0,13,0.6
n28,1661,0.3288,0.864,2,0,2,0.5666666666666667
n28,1666,0.3234666666666668,0.864,1,2,3,0.5666666666666667
n28,1671,0.31713333333333327,0.887,1,2,3,0.5333333333333333
n28,1676,0.3039666666666667,0.887,2,0,2,0.4666666666666667
n28,1681,0.2614666666666666,0.887,9,4,13,0.5
n28,1686,0.25539999999999996,0.887,4,0,4,0.5333333333333333
n28,1691,0.2846000000000001,0.887,1,2,3,0.6
n28,1696,0.2824333333333334,0.887,20,0,20,0.6
n28,1701,0.2671999999999999,0.889,15,2,17,0.6333333333333333
n28,1706,0.26483333333333325,0.889,10,0,10,0.6
n28,1711,0.27693333333333325,0.889,5,2,7,0.5666666666666667
n28,1716,0.2660666666666667,0.889,0,3,3,0.5666666666666667
n28,1721,0.21883333333333332,0.889,0,2,2,0.5333333333333333
n28,1726,0.21150000000000002,0.889,30,0,30,0.5333333333333333
n28,1731,0.19279999999999997,0.857,30,2,32,0.5333333333333333
n28,1736,0.19766666666666677,0.857,25,0,25,0.5333333333333333
n28,1741,0.2263666666666665,0.857,20,0,20,0.5666666666666667
n28,1746,0.23070000000000002,0.857,15,0,15,0.4666666666666667
n28,1751,0.2559666666666667,0.857,10,1,11,0.4666666666666667
n28,1756,0.2778999999999999,0.857,5,1,6,0.43333333333333335
n28,1761,0.2934333333333332,0.83,0,1,1,0.43333333333333335
n28,1766,0.26946666666666685,0.808,1,4,5,0.43333333333333335
n28,1771,0.2530666666666668,0.808,8,0,8,0.4666666666666667
n28,1776,0.24880000000000002,0.808,3,0,3,0.5
n28,1781,0.26826666666666654,0.841,4,2,6,0.5333333333333333
n28,1786,0.25059999999999993,0.841,1,0,1,0.5333333333333333
n28,1791,0.25216666666666665,0.841,1,0,1,0.5
n28,1796,0.26859999999999995,0.841,0,1,1,0.5
n28,1801,0.3011666666666666,0.841,16,0,16,0.6333333333333333
n28,1806,0.3431666666666667,0.841,11,0,11,0.6
n28,1811,0.30333333333333334,0.762,6,0,6,0.4666666666666667
n28,1816,0.28729999999999994,0.718,2,0,2,0.4
n28,1821,0.2790333333333333,0.718,7,1,8,0.43333333333333335
n28,1826,0.3833666666666667,0.854,1,0,1,0.4666666666666667
n28,1831,0.3336,0.854,0,3,3,0.5
n28,1836,0.6782666666666666,1.26,0,4,4,0.5333333333333333
n28,1841,0.7204333333333333,1.44,0,11,11,0.4
n28,1846,0.5919333333333332,1.44,0,6,6,0.43333333333333335
n28,1851,0.4843666666666666,1.44,0,14,14,0.4666666666666667
n28,1856,0.4219999999999997,1.44,1,9,10,0.6
n28,1861,0.33756666666666657,1.44,0,4,4,0.6666666666666666
n28,1866,0.2704666666666664,1.44,30,0,30,0.5
n28,1871,0.23289999999999988,1.373,30,0,30,0.5333333333333333
n28,1876,0.21093333333333342,1.328,30,0,30,0.5333333333333333
n28,1881,0.2297666666666669,1.328,30,1,31,0.4666666666666667
n28,1886,0.47766666666666646,1.603,30,0,30,0.43333333333333335
n28,1891,0.46206666666666707,1.637,30,0,30,0.4
n28,1896,0.4499333333333333,1.637,30,0,30,0.43333333333333335
n28,1901,0.4607999999999999,1.637,30,3,33,0.43333333333333335
n28,1906,0.44440000000000013,1.637,30,8,38,0.43333333333333335
n28,1911,0.40236666666666654,1.637,30,3,33,0.4666666666666667
n28,1916,0.4200666666666668,1.637,30,0,30,0.4666666666666667
n28,1921,0.2855333333333332,1.416,30,0,30,0.5
n28,1926,0.8441666666666665,2.015,0,3,3,0.43333333333333335
