stamp,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29
306,0.191,-0.127,0.056,-0.045,-0.016,0,1.558,-0.478,0.237,-0.017,-0.336,0.282,0.619,1.301,0.298,0.434,0.051,0.479,-0.233,-0.006,-0.549,-0.309,-0.574,-0.597,-0.219,-0.425,-0.033,0.235,0.002
307,0.186,0.04,-0.033,-0.022,-0.07,0,1.501,-0.621,0.085,-0.074,-0.308,0.213,0.623,1.369,0.523,0.322,-0.13,0.408,-0.309,0.075,-0.671,-0.3,-0.612,-0.695,-0.136,-0.5,-0.083,0.101,-0.044
308,0.326,0.019,-0.061,-0.089,-0.188,0.05,1.06,-0.54,0,-0.121,-0.339,0.135,0.29,1.039,0.261,0.221,-0.048,0.239,-0.317,-0.102,-0.57,-0.421,-0.64,-0.628,-0.182,-0.492,-0.167,0.033,-0.318
309,0.444,0.015,0.061,0.151,-0.11,0.254,1.424,-0.723,0,-0.082,-0.396,0.297,0.533,1.251,0.539,0.159,0.069,0.397,-0.338,-0.066,-0.429,-0.464,-0.596,-0.613,-0.19,-0.348,-0.026,0.115,-0.071
310,0.409,-0.035,0.04,-0.059,-0.13,0,1.373,-0.583,0.03,-0.135,-0.503,0.235,0.538,1.247,0.673,0.327,0.175,0.389,-0.318,0.017,-0.649,-0.342,-0.658,-0.642,-0.12,-0.412,-0.209,0.223,-0.016
311,0.527,0.025,0.122,-0.048,-0.106,0,1.574,-0.503,0.204,-0.121,-0.334,0.344,0.49,1.483,0.76,0.295,0.111,0.449,-0.239,0.054,-0.597,-0.395,-0.617,-0.545,-0.176,-0.441,-0.08,0.244,-0.062
312,0.539,-0.003,-0.006,-0.035,-0.173,0.06,1.123,-0.617,0,-0.043,-0.368,0.087,0.468,1.133,0.785,0.212,0.52,0.273,-0.318,0.017,-0.627,-0.504,-0.565,-0.564,-0.267,-0.506,-0.128,-0.003,-0.11
313,0.603,0.03,0.062,-0.092,-0.072,0.111,1.483,-0.421,0,-0.065,-0.317,0.304,0.645,1.333,0.934,0.3,0.22,0.375,-0.228,0.139,-0.639,-0.342,-0.664,-0.599,-0.177,-0.427,0.016,0.224,-0.018
314,0.655,-0.107,0.033,-0.086,-0.066,0,1.518,-0.486,-0.16,0.015,-0.386,0.235,0.395,1.403,1.197,0.357,0.091,0.263,-0.34,-0.056,-0.631,-0.364,-0.629,-0.639,-0.17,-0.498,-0.08,0.14,-0.124
315,0.726,-0.045,0.095,-0.105,-0.186,0,1.431,-0.341,0.06,-0.067,-0.387,0.317,0.41,1.372,1.162,0.266,0.108,0.469,-0.245,0.104,-0.608,-0.349,-0.547,-0.534,-0.253,-0.408,-0.109,-0.102,-0.238
